prompt,completion
rock acoustic ->," None
None
0:r
0:k,2:r
10:s,11:s,14:r,14:s
1:k,4:s,18:s,19:s,20:k,22:r,22:s,28:k ###"
rock acoustic ->," None
None
None
25:s
0:r,0:k,2:r,3:s,4:r,6:s
4:k,6:r,8:r,8:k,10:r,11:s,12:r,12:k,14:r,14:s,21:s,23:s,24:s,26:t,27:t,28:x,29:x,30:u ###"
rock acoustic ->," None
None
None
0:k,2:s
0:r,3:s,6:s
0:y,2:r,4:r,6:r,8:r,10:r,11:s,12:r,12:k,18:s,20:s,21:k,25:s,27:t,28:x,29:u,30:u ###"
rock acoustic ->," None
None
None
0:k,1:h,4:s
3:h,4:h,5:h,7:h,7:k,8:h
0:y,11:h,12:h,13:h,15:h,15:k,16:h,26:h,28:j ###"
rock dark hybrid ->," None
None
None
0:k,1:a,4:a,4:s
3:a,5:a,7:k,7:a,8:a
0:y,11:a,13:a,15:k,15:a,16:a,26:a ###"
rock deep daft ->," None
None
None
0:k,1:h,4:s
3:h,4:h,5:h,7:h,7:k,8:h
0:y,11:h,12:h,13:h,15:h,15:k,16:h,26:h,28:a ###"
rock acoustic ->," None
0:t
0:k,3:t
4:s
None
11:y ###"
hiphop acoustic ->," None
None
0:h
2:h,3:k
0:k,5:k,6:h,6:s,9:k
14:h,28:s,30:k,30:j ###"
hiphop dark hybrid ->," None
0:a
None
3:k
0:k,5:k,6:s,9:k
28:s,30:k ###"
hiphop deep daft ->," None
None
0:h
2:h,3:k
0:k,5:k,6:h,6:s,9:k
14:h,28:s,30:k,30:a ###"
hiphop acoustic ->," None
None
1:h
None
0:k
3:h,11:h,15:k ###"
hiphop dark hybrid ->," None
None
0:a
None
6:a,11:a
2:a,14:a,26:a ###"
rock acoustic ->," None
None
None
0:k
None
1:h,3:k,4:h,5:k,7:h,10:h,11:h,12:h,13:h,15:h,17:k,19:h,20:k,21:h,23:k ###"
rock dark hybrid ->," None
None
0:a
1:a
5:a,7:a,11:a
2:a,14:a,15:a,19:a ###"
rock acoustic ->," None
None
None
None
None
0:k,1:s,2:s,4:s ###"
rock acoustic ->," None
None
2:r
4:r,4:s
6:k,8:r,8:k
0:k,0:y,0:y,16:r,18:k ###"
rock acoustic ->," None
None
None
0:r
0:k,2:r,2:k,4:r,6:r,6:s
10:r,12:r,12:s,14:r,24:k ###"
rock acoustic ->," None
None
None
None
None
0:u,0:k,2:u,3:u,4:u,4:k,4:s,6:u,7:u,8:u,8:k,10:u,11:u,12:u,12:k,12:s,14:u,15:u ###"
rock acoustic ->," None
None
None
0:k,4:h,4:s,6:h
2:h,3:k,8:h
0:k,10:h,12:k,16:h,26:k,26:j,28:h ###"
rock dark hybrid ->," None
0:a
None
0:k,4:s
3:k
12:k,26:k,28:a ###"
rock deep daft ->," None
None
None
0:k,4:h,4:s,6:h
2:h,3:k,8:h
0:k,10:h,12:k,16:h,26:k,26:a,28:h ###"
rock acoustic ->," None
None
2:h
0:k,4:s
3:k,4:h,8:h
1:k,12:h,16:k,17:h,28:k ###"
rock dark hybrid ->," None
0:a
None
0:k,4:s
3:k
1:k,17:a ###"
rock acoustic ->," None
None
None
0:k,4:s,6:h
0:h,2:h,4:h
2:h,3:k,8:k,10:h,10:k,12:h,12:h,17:k,19:h,24:h,28:k ###"
rock dark hybrid ->," None
None
0:a
0:k,4:s,6:a
2:a
2:a,3:k,10:k,10:a,12:a,17:k,19:a ###"
rock acoustic ->," None
None
None
4:k
0:k,1:k,2:k,8:k,10:h,10:s
2:s,6:k,8:k,10:k,14:s,14:k,15:h,15:k,19:k,20:s,21:k,22:l,22:k,22:s,24:l,24:h,26:l ###"
rock dark hybrid ->," None
None
None
1:a,3:a
0:k,5:a,7:k,7:a,9:s,9:a
1:s,13:s,13:a,14:k,14:a,15:a,18:k,19:s,20:k,21:k,21:s,23:a ###"
rock deep daft ->," None
None
None
4:k
0:k,1:k,2:k,8:k,10:h,10:s
2:s,6:k,8:k,10:k,14:s,14:k,15:h,15:k,19:k,20:s,21:k,22:a,22:k,22:s,24:h,24:a,26:a ###"
jazz klezmer acoustic ->," None
None
None
None
0:s,0:k,0:y,4:k,6:k,6:s,6:q,10:k,12:s
12:k,12:q,27:k,28:x,31:s,31:k ###"
jazz klezmer jinglestacks 2nd hi-hat ->," None
None
None
None
0:s,0:k,0:y,4:k,6:h,6:k,6:s,10:k,12:s
12:h,12:k,27:k,28:x,31:s,31:k ###"
jazz klezmer jazz funk ->," None
None
None
None
0:s,0:k,0:y,4:k,6:b,6:k,6:s,10:k,12:s
12:b,12:k,27:k,28:x,31:s,31:k ###"
jazz klezmer big room layered ->," None
None
None
None
0:k,0:s,0:y,4:k,6:k,6:s,6:l,10:k,12:s
12:k,12:l,27:k,28:x,31:k,31:s ###"
jazz klezmer super boom layered ->," None
None
None
None
0:s,0:k,0:y,4:k,6:k,6:s,6:l,10:k,12:s
12:k,12:l,27:k,28:x,31:s,31:k ###"
jazz klezmer nu rnb ->," None
None
None
None
0:s,0:k,0:y,4:k,6:k,6:s,10:k,12:s,22:s
12:k,12:s,27:k,28:x,31:s,31:k ###"
jazz klezmer compact lite w/ tambourine hh ->," None
None
None
None
0:s,0:k,0:y,4:k,6:s,6:k,6:a,10:k,12:s
12:k,12:a,27:k,28:x,31:s,31:k ###"
latin brazilian acoustic ->," None
None
None
None
0:k,3:s,9:s,12:k,12:s,14:s
0:s,0:v,1:s,1:v,1:k,3:u,3:k,5:s,5:v,5:k,7:s,7:v,7:k,9:u,9:k,10:v,10:z,12:u,14:u,14:k,16:k,16:q,18:s,20:k,20:s,22:s,22:s,24:k,24:s,25:h,25:s,26:s,27:s,29:s,30:s,31:s ###"
latin brazilian jinglestacks 2nd hi-hat ->," None
None
None
None
0:k,3:s,9:s,12:k,12:s,14:s
0:s,0:v,1:s,1:v,1:k,3:u,3:k,5:s,5:v,5:k,7:s,7:v,7:k,9:u,9:k,10:v,10:z,12:u,14:u,14:k,16:h,16:k,18:s,20:k,20:s,22:s,22:s,24:k,24:s,25:h,25:s,26:s,27:s,29:s,30:s,31:s ###"
latin brazilian jazz funk ->," None
None
None
None
0:k,3:s,9:s,12:k,12:s,14:s
0:s,0:v,1:s,1:v,1:k,3:u,3:k,5:s,5:v,5:k,7:s,7:v,7:k,9:u,9:k,10:v,10:z,12:u,14:u,14:k,16:b,16:k,18:s,20:k,20:s,22:s,22:s,24:k,24:s,25:h,25:s,26:s,27:s,29:s,30:s,31:s ###"
latin brazilian dark hybrid ->," None
None
None
None
0:k,3:s,9:s,12:k,12:s,14:s
0:s,0:v,1:s,1:v,1:k,3:u,3:k,5:s,5:v,5:k,7:s,7:v,7:k,9:u,9:k,10:v,10:z,12:u,14:u,14:k,16:k,16:q,18:s,20:k,20:s,22:s,22:s,24:k,24:s,25:s,25:a,26:s,27:s,29:s,30:s,31:s ###"
latin brazilian big room layered ->," None
None
None
None
0:k,3:s,9:s,12:k,12:s,14:s,16:k
0:s,1:k,1:s,3:u,3:k,5:k,5:s,7:k,7:s,9:u,9:k,10:k,10:z,12:u,14:u,14:k,16:l,18:s,20:k,20:s,22:s,24:k,24:s,25:h,25:s,26:s,27:s,29:s,30:s,31:s ###"
latin brazilian super boom layered ->," None
None
None
None
0:k,3:s,9:s,12:k,12:s,14:s
0:s,0:v,1:s,1:v,1:k,3:u,3:k,5:s,5:v,5:k,7:s,7:v,7:k,9:u,9:k,10:v,10:z,12:u,14:u,14:k,16:k,16:l,18:s,20:k,20:s,22:s,22:s,24:k,24:s,25:h,25:s,26:s,27:s,29:s,30:s,31:s ###"
latin brazilian west coast funk ->," None
None
None
None
0:k,3:s,9:s,12:k,12:s,14:s
0:b,0:s,1:b,1:s,1:k,3:u,3:k,5:b,5:s,5:k,7:b,7:s,7:k,9:u,9:k,10:b,10:z,12:u,14:u,14:k,16:h,16:k,18:s,20:k,20:s,22:s,22:s,24:k,24:s,25:h,25:s,26:s,27:s,29:s,30:s,31:s ###"
latin brazilian 808 simple ->," None
None
None
None
0:k,3:s,9:s,12:k,12:s,14:s
0:s,0:v,1:s,1:v,1:k,3:u,3:k,5:s,5:v,5:k,7:s,7:v,7:k,9:u,9:k,10:s,10:v,12:u,14:u,14:k,16:k,16:q,18:s,20:k,20:s,22:s,22:s,24:k,24:s,25:h,25:s,26:s,27:s,29:s,30:s,31:s ###"
latin brazilian nu rnb ->," None
None
None
None
0:k,3:s,9:s,12:k,12:s,14:s
0:s,0:l,1:s,1:k,1:l,3:u,3:k,5:s,5:k,5:l,7:s,7:k,7:l,9:u,9:k,10:s,10:l,12:u,14:u,14:k,16:k,16:s,18:s,20:k,20:s,22:s,22:s,24:k,24:s,25:h,25:s,26:s,27:s,29:s,30:s,31:s ###"
latin brazilian ele-drum ->," None
None
None
None
0:k,0:l,3:s,9:s,12:k,12:s,14:s
0:s,1:s,1:k,1:l,3:u,3:k,5:s,5:k,5:l,7:s,7:k,7:l,9:u,9:k,10:s,10:l,12:u,14:u,14:k,16:k,18:s,20:k,20:s,22:s,22:s,24:k,24:s,25:h,25:s,26:s,27:s,29:s,30:s,31:s ###"
latin brazilian compact lite w/ tambourine hh ->," None
None
None
None
0:k,3:s,9:s,12:k,12:s,14:s
0:s,0:v,1:s,1:v,1:k,3:u,3:k,5:s,5:v,5:k,7:s,7:v,7:k,9:u,9:k,10:v,10:z,12:u,14:u,14:k,16:k,16:a,18:s,20:k,20:s,22:s,22:s,24:k,24:s,25:s,25:a,26:s,27:s,29:s,30:s,31:s ###"
blues shuffle acoustic ->," None
None
None
None
None
0:r,0:k,3:k,4:s,4:y,7:k,7:s,8:k,8:r,8:s,10:k,11:r,12:s,12:r,14:k,14:s,14:y,15:s ###"
blues shuffle big room layered ->," None
None
None
None
None
0:r,0:k,3:k,4:s,4:y,7:k,7:s,8:k,8:r,8:s,10:k,11:r,12:r,12:s,14:k,14:s,14:y,15:s ###"
blues shuffle acoustic ->," None
None
None
4:r,4:s,7:s
8:r,8:k,8:s,14:s,15:s,24:s
0:k,3:k,4:v,4:s,7:k,7:r,8:s,10:r,11:k,14:y,15:k,15:s,16:s,18:r,18:k,18:s,22:r,22:k,22:s,23:s,24:s,26:r,26:k,30:r,30:k ###"
blues shuffle big room layered ->," None
None
None
4:r,4:s,7:s
8:r,8:k,8:s,14:s,15:s,24:s
0:k,3:k,4:k,4:s,7:k,7:r,8:s,10:r,11:k,14:y,15:k,15:s,16:s,18:r,18:k,18:s,22:r,22:k,22:s,23:s,24:s,26:r,26:k,30:r,30:k ###"
blues shuffle west coast funk ->," None
None
None
4:r,4:s,7:s
8:r,8:k,8:s,14:s,15:s,24:s
0:k,3:k,4:b,4:s,7:k,7:r,8:s,10:r,11:k,14:y,15:k,15:s,16:s,18:r,18:k,18:s,22:r,22:k,22:s,23:s,24:s,26:r,26:k,30:r,30:k ###"
blues shuffle nu rnb ->," None
None
None
4:r,4:s,7:s
8:r,8:k,8:s,14:s,15:s,24:s
0:k,3:k,4:s,4:l,7:k,7:r,8:s,10:r,11:k,14:y,15:k,15:s,16:s,18:r,18:k,18:s,22:r,22:k,22:s,23:s,24:s,26:r,26:k,30:r,30:k ###"
blues shuffle acoustic ->," None
None
None
0:s,3:s
7:k,7:s,9:s
0:u,0:k,1:k,2:u,2:s,3:u,3:k,4:u,4:k,4:s,5:u,5:k,5:s,7:u,8:u,8:k,9:u,10:k,11:u,11:k,12:u,12:s,13:u,13:k,13:s,15:y,15:s,15:k,18:k,19:y,22:s,23:r,24:s,25:r,25:k,27:r,30:r ###"
latin merengue acoustic ->," None
None
None
7:k
3:s,4:k,6:s,7:s,8:s,10:s,12:w,14:t
0:k,4:s,12:k,13:t,15:t,16:q,19:s,27:k,28:t,30:t,31:q ###"
latin merengue jinglestacks 2nd hi-hat ->," None
None
None
7:k
3:s,4:k,6:s,7:s,8:s,10:s,12:w,14:t
0:k,4:s,12:k,13:t,15:t,16:h,19:s,27:k,28:t,30:t,31:h ###"
latin merengue jazz funk ->," None
None
None
7:k
3:s,4:k,6:s,7:s,8:s,10:s,12:w,14:t
0:k,4:s,12:k,13:t,15:t,16:b,19:s,27:k,28:t,30:t,31:b ###"
latin merengue big room layered ->," None
None
None
7:k
3:s,4:k,6:s,7:s,8:s,10:s,12:l,14:t
0:k,4:s,12:k,13:t,15:t,16:l,19:s,27:k,28:t,30:t,31:l ###"
latin merengue super boom layered ->," None
None
None
7:k
3:s,4:k,6:s,7:s,8:s,10:s,12:w,14:t
0:k,4:s,12:k,13:t,15:t,16:l,19:s,27:k,28:t,30:t,31:l ###"
latin merengue nu rnb ->," None
None
None
7:k
3:s,4:k,6:s,7:s,8:s,10:s,12:z,14:t
0:k,4:s,12:k,13:t,15:t,16:s,19:s,27:k,28:t,30:t,31:s ###"
latin merengue ele-drum ->," None
None
None
7:k
3:s,4:k,6:s,7:s,8:s,10:s,12:z,14:t
0:k,4:s,12:k,13:t,15:t,16:l,19:s,27:k,28:t,30:t,31:l ###"
latin merengue compact lite w/ tambourine hh ->," None
None
None
7:k
3:s,4:k,6:s,7:s,8:s,10:s,12:w,14:t
0:k,4:s,12:k,13:t,15:t,16:a,19:s,27:k,28:t,30:t,31:a ###"
latin brazilian-bossa acoustic ->," None
None
None
0:k,4:h,6:k,6:k
8:k,12:k
2:h,4:l,4:z,4:s,6:k,9:k,10:k,10:s,10:q,16:k,18:z,18:k,20:k,26:l,26:z ###"
latin brazilian-bossa jinglestacks 2nd hi-hat ->," None
None
None
0:k,4:h,6:k,6:k
8:k,12:k
2:h,4:l,4:z,4:s,6:k,9:k,10:h,10:s,10:k,16:k,18:z,18:k,20:k,26:l,26:z ###"
latin brazilian-bossa jazz funk ->," None
None
None
0:k,4:h,6:k,6:k
8:k,12:k
2:h,4:l,4:z,4:s,6:k,9:k,10:b,10:s,10:k,16:k,18:z,18:k,20:k,26:l,26:z ###"
latin brazilian-bossa dark hybrid ->," None
None
2:a
0:k,4:a,6:k,12:a
8:a
4:z,4:s,6:k,9:k,10:s,10:q,16:a,18:z,26:z ###"
latin brazilian-bossa big room layered ->," None
None
None
0:k,4:h,6:k,6:k
8:k,12:k
2:h,4:l,4:z,4:s,6:k,9:k,10:k,10:s,10:l,16:k,18:z,18:k,20:k,26:l,26:z ###"
latin brazilian-bossa 808 simple ->," None
None
None
0:k,4:h,6:k,6:k
8:k,12:k
2:h,4:s,4:l,4:s,6:k,9:k,10:k,10:s,10:q,16:k,18:s,18:k,20:k,26:s,26:l ###"
latin brazilian-bossa nu rnb ->," None
None
None
0:k,4:h,6:k,6:k
8:k,12:k
2:h,4:s,4:l,4:s,6:k,9:k,10:s,10:k,16:k,18:s,18:k,20:k,26:s,26:l ###"
latin brazilian-bossa ele-drum ->," None
None
None
0:k,4:h,6:k,6:k
8:k,12:k
2:h,4:s,4:l,4:s,6:k,9:k,10:k,10:s,10:l,16:k,18:s,18:k,20:k,26:s,26:l ###"
latin brazilian-bossa compact lite w/ tambourine hh ->," None
None
2:a
0:k,4:a,6:k,12:a
8:a
4:z,4:s,6:k,9:k,10:a,10:s,16:a,18:z,26:z ###"
latin brazilian-bossa deep daft ->," None
None
None
0:k,4:h,6:k,6:k
8:k,12:k
2:h,4:a,4:z,4:s,6:k,9:k,10:k,10:s,10:l,16:k,18:z,18:k,20:k,26:z,26:a ###"
latin brazilian-sambareggae acoustic ->," None
None
None
0:k,2:h
3:s,4:t,4:k,5:s,6:h,6:s,8:u,8:k,9:u,10:u,11:u,20:k
0:k,0:x,1:s,2:x,7:s,12:t,12:k,14:h,14:s,16:u,18:u,23:z ###"
latin brazilian-sambareggae dark hybrid ->," None
None
None
0:k,2:a
3:s,4:t,4:k,5:s,6:s,6:a,8:u,8:k,9:u,10:u,11:u,20:k
0:k,0:x,1:s,2:x,7:s,12:t,12:k,14:s,14:a,16:u,18:u,23:z ###"
latin brazilian-sambareggae 808 simple ->," None
None
None
0:k,2:h
3:s,4:t,4:k,5:s,6:h,6:s,8:u,8:k,9:u,10:u,11:u,20:k
0:k,0:x,1:s,2:x,7:s,12:t,12:k,14:h,14:s,16:u,18:u,23:s ###"
afrocuban calypso acoustic ->," None
None
0:k
3:s,6:h
0:r,1:s,4:r,4:k,10:h,14:z
0:s,6:z,8:r,9:z,12:r,18:r,18:h,22:s,24:k,25:s,26:h,28:k ###"
afrocuban calypso dark hybrid ->," None
None
0:k
3:s,6:a
0:r,1:s,4:r,4:k,10:a,14:z
0:s,6:z,8:r,9:z,12:r,18:r,18:a,22:s,24:a,25:s,26:a,28:a ###"
afrocuban calypso 808 simple ->," None
None
0:k
3:s,6:s,6:h
0:r,1:s,4:r,4:k,10:h
0:s,8:r,9:s,12:r,18:r,18:h,24:k,25:s,26:h,28:k ###"
latin brazilian-songo acoustic ->," None
None
None
3:k,3:s,4:k,6:k
0:l,6:k,8:k,10:k,13:s,15:z
0:h,0:k,1:k,2:h,9:s,12:h,14:k,17:s,18:h,18:k,21:s,23:s,25:z,30:h ###"
latin brazilian-songo dark hybrid ->," None
0:a
None
3:k,3:s,6:k
13:s,15:z
0:k,0:a,1:k,9:s,12:a,17:s,18:a,21:s,23:s,25:z ###"
latin brazilian-songo 808 simple ->," None
None
None
3:k,3:s,4:k,6:k
0:l,6:k,8:k,10:k,13:s,15:s
0:h,0:k,1:k,2:h,9:s,12:h,14:k,17:s,18:h,18:k,21:s,23:s,25:s,30:h ###"
latin brazilian-songo deep daft ->," None
None
None
3:k,3:s,4:k,6:k
0:a,6:k,8:k,10:k,13:s,15:z
0:h,0:k,1:k,2:h,9:s,12:h,14:k,17:s,18:h,18:k,21:s,23:s,25:z,30:h ###"
funk acoustic ->," None
None
None
None
0:k,4:s,6:k,8:l,8:h,10:h,10:k,10:s,12:l,12:h,15:k
1:k,1:z,2:k,4:l,4:h,4:s,12:s,14:h,16:k,17:s,18:h,20:k,25:s,27:k,28:z,29:s,30:k ###"
funk dark hybrid ->," None
None
2:a
4:a
0:k,4:s,8:a,10:k,10:s,12:a,15:k,24:a
1:k,1:z,4:s,4:a,12:s,16:a,17:s,25:s,27:k,28:z,29:s ###"
funk 808 simple ->," None
None
None
None
0:k,4:s,6:k,8:l,8:h,10:h,10:k,10:s,12:l,12:h,15:k
1:s,1:k,2:k,4:l,4:h,4:s,12:s,14:h,16:k,17:s,18:h,20:k,25:s,27:k,28:s,29:s,30:k ###"
funk deep daft ->," None
None
None
None
0:k,4:s,6:k,8:h,8:a,10:h,10:k,10:s,12:h,12:a,15:k
1:k,1:z,2:k,4:s,4:h,4:a,12:s,14:h,16:k,17:s,18:h,20:k,25:s,27:k,28:z,29:s,30:k ###"
rock acoustic ->," None
None
None
4:r,4:h
0:k,6:r,8:r,8:h,10:r,10:k,12:s
0:y,1:k,4:s,7:s,8:k,14:r,15:s,16:r,16:h,16:k,18:r,20:s,22:k,23:k,25:s,26:k,30:s,31:s ###"
rock dark hybrid ->," None
None
None
4:r,4:a
0:k,6:r,8:r,8:a,10:r,10:k,12:s
0:y,1:k,4:s,7:s,8:k,14:r,15:s,16:r,16:k,16:a,18:r,20:s,22:k,23:k,25:s,26:k,30:s,31:s ###"
rock big room layered ->," None
None
None
4:r,4:h,4:s
0:k,6:r,8:r,8:h,10:r,10:k,15:s
0:y,1:k,7:s,8:k,14:r,16:r,16:h,16:k,18:r,22:k,23:k,25:s,26:k,30:s ###"
blues shuffle acoustic ->," None
None
None
0:k,3:k,6:k
2:k,4:k,6:k,7:k,10:h,10:k
1:s,3:s,7:l,7:s,9:s,11:s,12:k,14:k,15:k,15:k,19:z,22:s,23:k,26:s,27:s,28:h,28:k,29:k ###"
blues shuffle dark hybrid ->," None
None
None
0:a
0:k,1:k,1:a,2:a,4:k,4:a,5:a,6:a
1:s,3:s,5:s,8:k,9:k,9:a,10:a,12:a,13:z,13:a,14:a,16:s,20:s,21:s,22:k,23:k ###"
blues shuffle big room layered ->," None
None
None
0:k,3:k,6:k
2:k,4:k,6:k,7:k,10:h,10:k,11:s
1:s,3:s,7:l,7:s,9:s,12:k,14:k,15:k,15:k,19:z,22:s,23:k,26:s,28:h,28:k,29:k ###"
blues shuffle 808 simple ->," None
None
None
0:k,3:k,6:k
2:k,4:k,6:k,7:k,10:h,10:k
1:s,3:s,7:l,7:s,9:s,11:s,12:k,14:k,15:k,15:k,19:s,22:s,23:k,26:s,27:s,28:h,28:k,29:k ###"
blues shuffle deep daft ->," None
None
None
0:k,3:k,6:k
2:k,4:k,6:k,7:k,10:h,10:k
1:s,3:s,7:a,7:s,9:s,11:s,12:k,14:k,15:k,15:k,19:z,22:s,23:k,26:s,27:s,28:h,28:k,29:k ###"
afrocuban acoustic ->," None
None
None
None
0:k,1:s,5:s,7:s,10:s
0:r,2:r,2:s,4:r,6:r,9:t,9:h,11:t,12:s,13:t,14:s,15:t,17:k,18:t,20:t,22:x,23:r,25:v,27:q ###"
afrocuban jinglestacks 2nd hi-hat ->," None
None
None
None
0:k,1:s,5:s,7:s,10:s
0:r,2:r,2:s,4:r,6:r,9:t,9:h,11:t,12:s,13:t,14:s,15:t,17:k,18:t,20:t,22:x,23:r,25:v,27:h ###"
afrocuban jazz funk ->," None
None
None
None
0:k,1:s,5:s,7:s,10:s
0:r,2:r,2:s,4:r,6:r,9:t,9:h,11:t,12:s,13:t,14:s,15:t,17:k,18:t,20:t,22:x,23:r,25:v,27:b ###"
afrocuban dark hybrid ->," None
None
None
None
0:k,1:s,5:s,7:s,10:s
0:r,2:r,2:s,4:r,6:r,9:t,9:a,11:t,12:s,13:t,14:s,15:t,17:k,18:t,20:t,22:x,23:r,25:v,27:q ###"
afrocuban big room layered ->," None
None
None
None
0:k,1:s,5:s,7:s,10:s
0:r,2:r,2:s,4:r,6:r,9:t,9:h,11:t,12:s,13:t,14:s,15:t,17:k,18:t,20:t,22:x,23:r,25:k,27:l ###"
afrocuban super boom layered ->," None
None
None
None
0:k,1:s,5:s,7:s,10:s
0:r,2:r,2:s,4:r,6:r,9:t,9:h,11:t,12:s,13:t,14:s,15:t,17:k,18:t,20:t,22:x,23:r,25:v,27:l ###"
afrocuban west coast funk ->," None
None
None
None
0:k,1:s,5:s,7:s,10:s
0:r,2:r,2:s,4:r,6:r,9:t,9:h,11:t,12:s,13:t,14:s,15:t,17:k,18:t,20:t,22:x,23:r,25:b,27:h ###"
afrocuban nu rnb ->," None
None
None
None
0:k,1:s,5:s,7:s,10:s
0:r,2:r,2:s,4:r,6:r,9:t,9:h,11:t,12:s,13:t,14:s,15:t,17:k,18:t,20:t,22:x,23:r,25:l,27:s ###"
afrocuban ele-drum ->," None
None
None
None
0:k,1:s,5:s,7:s,10:s
0:r,2:r,2:s,4:r,6:r,9:t,9:h,11:t,12:s,13:t,14:s,15:t,17:k,18:t,20:t,22:x,23:r,25:l,27:l ###"
afrocuban compact lite w/ tambourine hh ->," None
None
None
None
0:k,1:s,5:s,7:s,10:s
0:r,2:r,2:s,4:r,6:r,9:t,9:a,11:t,12:s,13:t,14:s,15:t,17:k,18:t,20:t,22:x,23:r,25:v,27:a ###"
middleeastern acoustic ->," None
None
None
0:k
2:k,4:k,6:k,8:k,10:h,12:z
0:l,2:s,6:h,7:z,12:l,12:h,14:k,15:s,16:k,18:z,22:k,28:s,28:k,30:h ###"
middleeastern dark hybrid ->," None
0:a
None
0:k
6:k,12:z
2:s,7:z,12:a,15:s,18:z,28:s ###"
middleeastern 808 simple ->," None
None
None
0:k
2:k,4:k,6:k,8:k,10:h,12:s
0:l,2:s,6:h,7:s,12:l,12:h,14:k,15:s,16:k,18:s,22:k,28:s,28:k,30:h ###"
middleeastern deep daft ->," None
None
None
0:k
2:k,4:k,6:k,8:k,10:h,12:z
0:a,2:s,6:h,7:z,12:h,12:a,14:k,15:s,16:k,18:z,22:k,28:s,28:k,30:h ###"
latin brazilian-bossa acoustic ->," None
None
None
2:k,6:k
0:k,4:h,6:k,8:k,10:s,12:k,14:k,24:k
4:l,8:h,10:s,11:h,11:s,12:s,13:s,13:k,14:s,15:h,16:k,18:s,20:k,22:k,24:k,28:h,30:k ###"
latin brazilian-bossa dark hybrid ->," None
None
None
0:k
0:a,2:k,2:a,4:a,4:s,6:a,8:k,18:k
4:s,5:a,5:s,6:s,7:a,7:s,8:s,9:a,10:k,10:a,12:s,12:a,14:a,16:k,22:a,24:a ###"
latin brazilian-bossa deep daft ->," None
None
None
2:k,6:k
0:k,4:h,6:k,8:k,10:s,12:k,14:k,24:k
4:a,8:h,10:s,11:h,11:s,12:s,13:s,13:k,14:s,15:h,16:k,18:s,20:k,22:k,24:k,28:h,30:k ###"
latin brazilian-baiao acoustic ->," None
0:r
2:h
0:k,3:k,5:r
0:k,1:r,4:s,6:s
1:k,3:s,4:s,8:s,9:r,11:s,12:s,14:s,20:k,25:k,25:z,28:z,29:s,31:z ###"
latin brazilian-baiao dark hybrid ->," None
0:r
2:a
0:k,3:k,5:r
0:k,1:r,4:s,6:s
1:k,3:s,4:s,8:s,9:r,11:s,12:s,14:s,20:k,25:k,25:z,28:z,29:s,31:z ###"
latin brazilian-baiao 808 simple ->," None
0:r
2:h
0:k,3:k,5:r
0:k,1:r,4:s,6:s
1:k,3:s,4:s,8:s,9:r,11:s,12:s,14:s,20:k,25:s,25:k,28:s,29:s,31:s ###"
latin brazilian-samba acoustic ->," None
None
0:k,1:s,2:h,2:s,3:k
3:s,4:u
0:s,1:s,7:s,16:s,17:s
2:s,15:s,24:s,27:k,31:z ###"
latin brazilian-samba dark hybrid ->," None
None
0:k,1:s,2:s,2:a,3:k
3:s,4:u
0:s,1:s,7:s,16:s,17:s
2:s,15:s,24:s,27:k,31:z ###"
latin brazilian-samba 808 simple ->," None
None
0:k,1:s,2:h,2:s,3:k
3:s,4:u
0:s,1:s,7:s,16:s,17:s
2:s,15:s,24:s,27:k,31:s ###"
latin brazilian-samba acoustic ->," None
None
0:k,2:h,2:s,3:k
0:s,4:u
1:s,3:s,13:s
7:s,8:s,9:s,11:s,13:s,15:s,16:s,21:s,23:z,25:s,27:z,31:z ###"
latin brazilian-samba dark hybrid ->," None
None
0:k,2:s,2:a,3:k
0:s,4:u
1:s,3:s,13:s
7:s,8:s,9:s,11:s,13:s,15:s,16:s,21:s,23:z,25:s,27:z,31:z ###"
latin brazilian-samba big room layered ->," None
None
0:k,2:h,2:s,3:k
0:s,1:s,4:u
3:s,13:s
7:s,8:s,9:s,11:s,13:s,15:s,16:s,21:s,23:z,27:z,31:z ###"
latin brazilian-samba 808 simple ->," None
None
0:k,2:h,2:s,3:k
0:s,4:u
1:s,3:s,13:s
7:s,8:s,9:s,11:s,13:s,15:s,16:s,21:s,23:s,25:s,27:s,31:s ###"
latin brazilian-maracatu acoustic ->," None
None
None
None
None
0:k,0:s,1:s,1:k,1:h,3:s,4:h,4:z,5:s,6:s,7:s,8:h,8:z,9:k,9:s,10:z,11:k,11:s,12:h,12:z,12:k,13:s,14:s,15:s ###"
latin brazilian-maracatu dark hybrid ->," None
None
None
None
None
0:k,0:s,1:s,1:k,1:a,3:s,4:z,4:a,5:s,6:s,7:s,8:z,8:a,9:k,9:s,10:z,11:k,11:s,12:k,12:z,12:a,13:s,14:s,15:s ###"
latin brazilian-maracatu 808 simple ->," None
None
None
None
None
0:k,0:s,1:s,1:k,1:h,3:s,4:s,4:h,5:s,6:s,7:s,8:s,8:h,9:k,9:s,10:s,11:k,11:s,12:s,12:h,12:k,13:s,14:s,15:s ###"
latin dominican-merengue acoustic ->," None
None
0:k,2:h
None
3:s,4:k,6:s,8:k,10:s,14:t,15:t
13:w,16:t,20:s,23:s,29:t ###"
latin dominican-merengue dark hybrid ->," None
None
0:k,2:a
None
3:s,4:a,6:s,8:a,10:s,14:t,15:t
13:w,16:t,20:s,23:s,29:t ###"
